,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
3215,3215,-0.55,-0.5775862068965517,-0.027586206896551668,5.0,2023-07-07 16:26:16.377081,2023-07-07 16:26:16.431898,0 days 00:00:00.054817,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,82,64,COMPLETE
3898,3898,-0.55,-0.5905172413793104,-0.04051724137931034,6.0,2023-07-07 17:30:06.137756,2023-07-07 17:30:06.188586,0 days 00:00:00.050830,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,78,77,COMPLETE
3327,3327,-0.55,-0.5560344827586207,-0.0060344827586206184,5.0,2023-07-07 16:35:54.690876,2023-07-07 16:35:54.741705,0 days 00:00:00.050829,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,82,66,COMPLETE
3761,3761,-0.55,-0.5689655172413793,-0.018965517241379293,3.0,2023-07-07 17:16:30.749342,2023-07-07 17:16:30.803162,0 days 00:00:00.053820,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,82,75,COMPLETE
5065,5065,-0.55,-0.5862068965517241,-0.036206896551724044,14.0,2023-07-07 19:44:49.122803,2023-07-07 19:44:49.178616,0 days 00:00:00.055813,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,82,101,COMPLETE
3061,3061,-0.55,-0.5344827586206896,-0.015517241379310431,5.0,2023-07-07 16:13:31.425329,2023-07-07 16:13:31.477282,0 days 00:00:00.051953,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,82,61,COMPLETE
3696,3696,-0.55,-0.46120689655172414,-0.0887931034482759,5.0,2023-07-07 17:10:06.765775,2023-07-07 17:10:06.816606,0 days 00:00:00.050831,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,78,73,COMPLETE
3654,3654,-0.55,-0.5732758620689655,-0.02327586206896548,5.0,2023-07-07 17:06:02.405496,2023-07-07 17:06:02.459316,0 days 00:00:00.053820,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,78,73,COMPLETE
2736,2736,-0.55,-0.5603448275862069,-0.010344827586206806,7.0,2023-07-07 15:48:24.640419,2023-07-07 15:48:24.690252,0 days 00:00:00.049833,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,78,54,COMPLETE
2930,2930,-0.55,-0.625,-0.07499999999999996,12.0,2023-07-07 16:03:04.347394,2023-07-07 16:03:04.400216,0 days 00:00:00.052822,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,82,58,COMPLETE
3971,3971,-0.55,-0.5517241379310345,-0.0017241379310344307,2.0,2023-07-07 17:37:31.887037,2023-07-07 17:37:31.939854,0 days 00:00:00.052817,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,79,COMPLETE
3014,3014,-0.55,-0.5301724137931034,-0.01982758620689662,7.0,2023-07-07 16:09:43.517607,2023-07-07 16:09:43.570394,0 days 00:00:00.052787,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,82,60,COMPLETE
3389,3389,-0.55,-0.46120689655172414,-0.0887931034482759,5.0,2023-07-07 16:41:23.341792,2023-07-07 16:41:23.391625,0 days 00:00:00.049833,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,78,67,COMPLETE
4624,4624,-0.55,-0.5689655172413793,-0.018965517241379293,5.0,2023-07-07 18:49:43.124001,2023-07-07 18:49:43.176824,0 days 007,0 days 00:00:00.051827,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,78,85,COMPLETE
1011,1011,-0.55,-0.603448275862069,-0.053448275862068906,12.0,2023-07-07 14:45:16.678308,2023-07-07 14:45:16.708459,0 days 00:00:00.030151,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,78,20,COMPLETE
3079,3079,-0.55,-0.5474137931034483,-0.002586206896551757,10.0,2023-07-07 16:15:00.488313,2023-07-07 16:15:00.541503,0 days 00:00:00.053190,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,82,61,COMPLETE
3696,3696,-0.55,-0.46120689655172414,-0.0887931034482759,5.0,2023-07-07 17:10:06.765775,2023-07-07 17:10:06.816606,0 days 00:00:00.050831,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,78,73,COMPLETE
3971,3971,-0.55,-0.5517241379310345,-0.0017241379310344307,2.0,2023-07-07 17:37:31.887037,2023-07-07 17:37:31.939854,0 days 00:00:00.052817,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,79,COMPLETE
3761,3761,-0.55,-0.5689655172413793,-0.018965517241379293,3.0,2023-07-07 17:16:30.749342,2023-07-07 17:16:30.803162,0 days 00:00:00.053820,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,82,75,COMPLETE
3215,3215,-0.55,-0.5775862068965517,-0.027586206896551668,5.0,2023-07-07 16:26:16.377081,2023-07-07 16:26:16.431898,0 days 00:00:00.054817,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,82,64,COMPLETE
2930,2930,-0.55,-0.625,-0.07499999999999996,12.0,2023-07-07 16:03:04.347394,2023-07-07 16:03:04.400216,0 days 00:00:00.052822,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,82,58,COMPLETE
4735,4735,-0.55,-0.46120689655172414,-0.0887931034482759,5.0,2023-07-07 19:03:04.879051,2023-07-07 19:03:04.930877,0 days 00:00:00.051826,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,78,94,COMPLETE
5105,5105,-0.55,-0.5646551724137931,-0.014655172413793105,6.0,2023-07-07 19:50:03.973658,2023-07-07 19:50:04.029435,0 days 00:00:00.055777,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,82,101,COMPLETE
2513,2513,-0.55,-0.5043103448275862,-0.04568965517241386,6.0,2023-07-07 15:32:47.915715,2023-07-07 15:32:47.968538,0 days 00:00:00.052823,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,78,50,COMPLETE
3654,3654,-0.55,-0.5732758620689655,-0.02327586206896548,5.0,2023-07-07 17:06:02.405496,2023-07-07 17:06:02.459316,0 days 00:00:00.053820,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,78,73,COMPLETE
3014,3014,-0.55,-0.5301724137931034,-0.01982758620689662,7.0,2023-07-07 16:09:43.517607,2023-07-07 16:09:43.570394,0 days 00:00:00.052787,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,82,60,COMPLETE
3551,3551,-0.55,-0.5732758620689655,-0.02327586206896548,6.0,2023-07-07 16:56:13.936174,2023-07-07 16:56:13.988997,0 days 00:00:00.052823,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,82,70,COMPLETE
1811,1811,-0.55,-0.625,-0.07499999999999996,12.0,2023-07-07 15:01:37.542748,2023-07-07 15:01:37.570706,0 days 00:00:00.027958,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,82,36,COMPLETE
