,number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_df_entry,params_t,params_t_exit,system_attrs_nsga2:generation,state
258,258,0.8075164797709051,-0.4839773798303487,-2122.0,2023-06-07 14:33:30.054664,2023-06-07 14:33:30.381279,0 days 00:00:00.326615,99,10,15,5,COMPLETE
2204,2204,0.8088161618309831,-0.48294365657339977,-2609.0,2023-06-07 15:01:53.289564,2023-06-07 15:01:53.708462,0 days 00:00:00.418898,91,10,17,44,COMPLETE
90,90,0.809263001683239,-0.4860392967942089,-1934.0,2023-06-07 14:32:23.002577,2023-06-07 14:32:23.339192,0 days 00:00:00.336615,90,8,22,1,COMPLETE
3050,3050,0.8114316884061479,-0.46718322698268006,-4388.0,2023-06-07 15:22:01.041309,2023-06-07 15:22:01.628306,0 days 00:00:00.586997,98,17,12,61,COMPLETE
3286,3286,0.8145418079788866,-0.46541554959785525,-5595.0,2023-06-07 15:28:30.123283,2023-06-07 15:28:30.612357,0 days 00:00:00.489074,94,19,8,65,COMPLETE
3276,3276,0.816823089946622,-0.4897155361050328,-2285.0,2023-06-07 15:28:11.741504,2023-06-07 15:28:12.154169,0 days 00:00:00.412665,79,7,16,65,COMPLETE
1855,1855,0.8178775264613768,-0.5516129032258065,-310.0,2023-06-07 14:54:37.298410,2023-06-07 14:54:37.777806,0 days 00:00:00.479396,87,2,14,37,COMPLETE
2016,2016,0.8249677423165616,-0.4794663876536751,-3823.0,2023-06-07 14:57:56.837046,2023-06-07 14:57:57.287190,0 days 00:00:00.450144,97,15,30,40,COMPLETE
1578,1578,0.8266518720060744,-0.4809670781893004,-3888.0,2023-06-07 14:49:33.064432,2023-06-07 14:49:33.450436,0 days 00:00:00.386004,96,15,30,31,COMPLETE
216,216,0.8308134186376666,-0.48833333333333334,-1800.0,2023-06-07 14:33:13.021345,2023-06-07 14:33:13.346490,0 days 00:00:00.325145,87,7,15,4,COMPLETE
2227,2227,0.8353822527911354,-0.5161290322580645,-310.0,2023-06-07 15:02:28.763059,2023-06-07 15:02:29.365241,0 days 00:00:00.602182,87,2,17,44,COMPLETE
3134,3134,0.8353822527911354,-0.5161290322580645,-310.0,2023-06-07 15:24:14.452152,2023-06-07 15:24:14.892071,0 days 00:00:00.439919,87,2,17,62,COMPLETE
3392,3392,0.8353822527911354,-0.5161290322580645,-310.0,2023-06-07 15:31:35.706936,2023-06-07 15:31:36.111059,0 days 00:00:00.404123,87,2,17,67,COMPLETE
1591,1591,0.8353822527911354,-0.5161290322580645,-310.0,2023-06-07 14:49:46.124076,2023-06-07 14:49:46.658924,0 days 00:00:00.534848,87,2,17,31,COMPLETE
3095,3095,0.846383660816951,-0.5527156549520766,-313.0,2023-06-07 15:23:16.204491,2023-06-07 15:23:16.592577,0 days 00:00:00.388086,85,2,14,61,COMPLETE
1205,1205,0.8472118189125925,-0.502970297029703,-505.0,2023-06-07 14:43:45.857080,2023-06-07 14:43:46.310340,0 days 00:00:00.453260,72,2,30,24,COMPLETE
550,550,0.8510286031714404,-0.5010204081632653,-980.0,2023-06-07 14:35:49.151013,2023-06-07 14:35:49.521925,0 days 00:00:00.370912,80,4,17,11,COMPLETE
501,501,0.8531475911748868,-0.5012224938875306,-818.0,2023-06-07 14:35:23.026672,2023-06-07 14:35:23.355246,0 days 00:00:00.328574,87,4,17,10,COMPLETE
2884,2884,0.8531475911748868,-0.5012224938875306,-818.0,2023-06-07 15:17:34.345771,2023-06-07 15:17:34.920685,0 days 00:00:00.574914,87,4,17,57,COMPLETE
732,732,0.8694788352630671,-0.5181159420289855,-276.0,2023-06-07 14:37:38.541687,2023-06-07 14:37:38.955419,0 days 00:00:00.413732,90,2,30,14,COMPLETE
350,350,0.8694788352630671,-0.5181159420289855,-276.0,2023-06-07 14:34:09.343199,2023-06-07 14:34:09.711482,0 days 00:00:00.368283,90,2,30,7,COMPLETE
2475,2475,0.8708322843939245,-0.47023611572996343,-3007.0,2023-06-07 15:07:58.660750,2023-06-07 15:07:59.127634,0 days 00:00:00.466884,99,13,23,49,COMPLETE
2511,2511,0.8816021945687832,-0.5217391304347826,-276.0,2023-06-07 15:08:45.084852,2023-06-07 15:08:45.485164,0 days 00:00:00.400312,90,2,26,50,COMPLETE
2304,2304,0.8823097190046348,-0.5229591836734694,-392.0,2023-06-07 15:04:19.105776,2023-06-07 15:04:19.520745,0 days 00:00:00.414969,79,2,28,46,COMPLETE
